Tag,Word
Masculine,Active
Masculine,Adventurous
Masculine,Aggress*
Masculine,Ambitio*
Masculine,Analy*
Masculine,Assert*
Masculine,Athlet*
Masculine,Autonom*
Masculine,Boast*
Masculine,Challeng*
Masculine,Compet*
Masculine,Confident*
Masculine,Courag*
Masculine,Decide
Masculine,Decisive
Masculine,Decision*
Masculine,Determin*
Masculine,Dominant
Masculine,Domina*
Masculine,Force*
Masculine,Greedy
Masculine,Headstrong
Masculine,Hierarch*
Masculine,Hostil*
Masculine,Implusive
Masculine,Independen*
Masculine,Individual*
Masculine,Intellect*
Masculine,Lead*
Masculine,Logic
Masculine,Masculine
Masculine,Objective
Masculine,Opinion
Masculine,Outspoken
Masculine,Persist
Masculine,Principle*
Masculine,Reckless
Masculine,Stubborn
Masculine,Superior
Masculine,Self-confiden*
Masculine,Self-sufficien*
Masculine,Self-relian*
Feminine,Affectionate
Feminine,Child*
Feminine,Cheer*
Feminine,Commit*
Feminine,Communal
Feminine,Compassion*
Feminine,Connect*
Feminine,Considerate
Feminine,Cooperat*
Feminine,Depend*
Feminine,Emotiona*
Feminine,Empath*
Feminine,Feminine
Feminine,Flatterable
Feminine,Gentle
Feminine,Honest
Feminine,Interpersonal
Feminine,Interdependen*
Feminine,Interpersona*
Feminine,Kind
Feminine,Kinship
Feminine,Loyal*
Feminine,Modesty
Feminine,Nag
Feminine,Nurtur*
Feminine,Pleasant*
Feminine,Polite
Feminine,Quiet*
Feminine,Respon*
Feminine,Sensitiv*
Feminine,Submissive
Feminine,Support*
Feminine,Sympath*
Feminine,Tender*
Feminine,Together*
Feminine,Trust*
Feminine,Understand*
Feminine,Warm*
Feminine,Whin*
Feminine,Yield*
Agency,aggress*
Agency,ambitious
Agency,dominant
Agency,forceful
Agency,independent
Agency,daring
Agency,compet*
Agency,influence*
Agency,initiat*
Agency,active
Agency,direct*
Agency,suggest*
Agency,organize*
Agency,lead*
Agency,mastery
Agency,power
Agency,outspoken
Agency,intellectual
Agency,bold
Agency,manage*
Agency,assurance
Agency,assertive
Agency,control*confident
Agency,sure
Agency,success
Agency,Achievement
Agency,force*
Agency,strength
Agency,hardworking
Agency,conscientious
Agency,originat*
Agency,start*
